Family,Common,Count,PERC,,,
Muridae,Rodent,190,18.83052527,,0.904761905,90.47619048
Suidae,Wild Boar,5,0.495540139,,0.023809524,2.380952381
Canidae,Wolf,5,0.495540139,,0.023809524,2.380952381
Pipidae,Frog,2,0.198216056,,0.00952381,0.952380952
Phasianidae,Chicken,2,0.198216056,,0.00952381,0.952380952
Other,(NA) ,6,0.594648167,,0.028571429,2.857142857
,,,20.81268583,,0,
,,210,,,,
